,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,Diff,Unders
347,PRETO,C,VESTUARIO,C9,C9A,C9AT,SOUTIEN BASE ALONGADA ESS C9 MSA BJ TRIA,9310710002,46,SOUTIEN / TOP,3,1,both,-2,2
348,AZUL,C,VESTUARIO,C6,C6A,C6AT,2 SOUTIENS APP TRS COM BOJO POA REF 4287,7744280001,40,SOUTIEN / TOP,3,3,both,0,0
349,,H,ELETRO-ELETRONICOS,HZ,HZA,HZAK,RELOGIO LINCE MASC DOURADO KIT CANIVETE,9518820000,,KIT MASCULINO DOURADO,2,2,both,0,0
350,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS  BIO MARCA DE TERCEIROS Skin,9697850006,46,CALÇA JEANS,1,0,left_only,-1,1
351,ROSA,C,VESTUARIO,CR,CRA,CRAS,SHORT DOLL MANGA CURTA CR SLO ELLA ESTAM,9581350005,P,SHORT DOLL,1,1,both,0,0
352,JEANS,C,VESTUARIO,C8,C8D,C8DA,CALCA C8 INFO PRD INK STONE USED TANK E,9483930001,4,CALÇA,4,2,both,-2,2
353,JEANS,C,VESTUARIO,CY,CYC,CYCD,SHORT JEANS PS MSA INK USED BARRA VIRADA,9480990003,50,BOTTOM CURTO JEANS PLUS,2,0,left_only,-2,2
354,,W,BELEZA,WB,WBQ,WBQB,SABONETE HIDRATANTE EM BARRA JEQUITI EU,9539860000,,BARRA,3,3,both,0,0
355,VINHO,C,VESTUARIO,CJ,CJA,CJAK,CALCINHA CJ SLO ELLA LISO VINHO GG VINHO,9644090007,GG,KIT CALCINHA,4,3,both,-1,1
356,PRETO,C,VESTUARIO,C9,C9A,C9AT,SOUTIEN BASE ESS C9 PRD LISO PTO   ELLA,9266820003,44,SOUTIEN / TOP,3,0,left_only,-3,3
357,JEANS,C,VESTUARIO,CY,CYB,CYBA,CALCA  JV MSA INK USED TANK ESMERIL BARR,9415790002,36,CALÇA JEANS,1,0,left_only,-1,1
358,,H,ELETRO-ELETRONICOS,HZ,HZB,HZBI,RELOGIO TUGUIR FEM PRETO P4 AVULSO ANALO,9437980000,,FEMININO OUTROS,1,1,both,0,0
359,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS  EVT JV PRD INK USED MARMORI,9412280006,44,CALÇA JEANS,2,0,left_only,-2,2
360,ROSA,C,VESTUARIO,CR,CRA,CRAS,SHORT DOLL MANGA CURTA CR PRD ELLA  RIBA,9590750003,M,SHORT DOLL,6,6,both,0,0
361,JEANS,C,VESTUARIO,CY,CYD,CYDA,CALCA JEANS CRN MSA INK USED BIGODE BARR,9384550005,38,CALÇA JEANS,1,1,both,0,0
362,ROSA,C,VESTUARIO,C5,C5B,C5BA,OCULOS  C5 MSA MAIS ACESSORIOS INFA ACET,9683330001,UNICO,ÓCULOS INF ACETATO,1,1,both,0,0
363,JEANS,C,VESTUARIO,CY,CYA,CYAD,BERMUDA JEANS CRN MSA INK USED BARRA DES,9573010001,38,BOTTOM CURTO JEANS,1,0,left_only,-1,1
364,PRETO,C,VESTUARIO,CY,CYC,CYCC,SHORT JEANS PS PRD INK CLOCHARD COM AMAR,9481170003,50,BOTTOM CURTO SARJA PLUS,1,0,left_only,-1,1
365,JEANS,C,VESTUARIO,CY,CYD,CYDA,CALCA JEANS CF MSA INK USED TANK BARRA V,9384460001,36,CALÇA JEANS,1,0,left_only,-1,1
366,JEANS,C,VESTUARIO,CY,CYA,CYAI,MACACAO SEM MANGA JEANS CRN PRD INK RASG,9480830004,40,INTEIRO,2,1,both,-1,1
367,JEANS,C,VESTUARIO,CM,CMA,CMAB,BERMUDA JEANS EVT PAIS CRN PRD INK BERMU,9578940007,44,BERMUDA JEANS,2,0,left_only,-2,2
368,VINHO,C,VESTUARIO,C6,C6A,C6AT,SOUTIEN APP TRS OLIMPO BOURBON VINHO REF,8267980003,50,SOUTIEN / TOP,2,2,both,0,0
369,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS EVT JNS CRN MSA INK JOGGER J,9532890004,40,CALÇA JEANS,2,0,left_only,-2,2
370,JEANS,C,VESTUARIO,CY,CYA,CYAD,SAIA CY SAW MARCA DE TERCEIROS SAIA LISO,9692420001,36,BOTTOM CURTO JEANS,1,0,left_only,-1,1
371,JEANS,C,VESTUARIO,CY,CYA,CYAD,BERMUDA JEANS CRN MSA INK 12 COXA GM LIS,9622500005,44,BOTTOM CURTO JEANS,3,0,left_only,-3,3
372,ROSA,C,VESTUARIO,C7,C7A,C7AT,SOUTIEN TG P1 POA ROSA PTO LIV C7 46 ROS,9623180004,46,SOUTIEN / TOP,1,2,both,1,0
373,BEGE,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA CJ PRD ELLA TULE BORDADO  BICOL,9646770002,GG,CALCINHA / BOTTOM,1,1,both,0,0
374,AZUL,C,VESTUARIO,CR,CRA,CRAK,2 CALCINHAS BIQUINI CR SLO ESTAMP FLORAL,9707400004,P,KIT CALCINHA,1,1,both,0,0
375,CINZA,C,VESTUARIO,CP,CPM,CPMG,3 PARES MEIA SOQUETE ACC SLO PANDA   CIN,9434980001,34/39,MEIA CASUAL/ESPORTIVA,1,0,left_only,-1,1
376,ROSA,C,VESTUARIO,C6,C6A,C6AT,2 SOUTIENS TRS BASE COTTON ROSA SOFIA  P,8808170002,44,SOUTIEN / TOP,10,6,both,-4,4
377,JEANS,C,VESTUARIO,CY,CYB,CYBA,CALCA  JV MSA INK USED TANK ESMERIL BARR,9415780002,36,CALÇA JEANS,2,0,left_only,-2,2
378,PRETO,C,VESTUARIO,CJ,CJA,CJAS,SHORT DOLL SEM MANGA CJ SLO ELLA ESTAMPA,9648860002,GG,SHORT DOLL,2,2,both,0,0
